run_name,cls,mosaic,seed,val_precision,val_recall,val_map50,val_map50_95,test_precision,test_recall,test_map50,test_map50_95
cls1.2_mos1_s0,1.2,1.0,0,0.8651,0.8834,0.9428,0.6348,0.8223,0.7471,0.8191,0.5281
cls0.5_mos1_s0,0.5,1.0,0,0.9022,0.8992,0.9554,0.6557,0.8005,0.8535,0.8369,0.5544
cls1.2_mos0_s0,1.2,0.0,0,0.8651,0.8834,0.9428,0.6348,0.8223,0.7471,0.8191,0.5281
cls0.5_mos0_s0,0.5,0.0,0,0.3265,0.6718,0.3553,0.2002,0.3117,0.6285,0.3403,0.183
cls0.5_mos1_s1,0.5,1.0,1,0.8708,0.9079,0.8963,0.6148,0.8288,0.819,0.8064,0.5328
cls0.5_mos1_s2,0.5,1.0,2,0.7393,0.7731,0.7176,0.4439,0.7127,0.7719,0.6966,0.4043
cls0.5_mos0_s1,0.5,0.0,1,0.7521,0.7599,0.7135,0.452,0.6941,0.7315,0.6139,0.3707
cls0.5_mos0_s2,0.5,0.0,2,0.8982,0.6011,0.5909,0.3731,0.8403,0.5365,0.5131,0.3066
cls1.2_mos1_s1,1.2,1.0,1,0.7598,0.3484,0.2778,0.1616,0.6877,0.2859,0.2111,0.1164
cls1.2_mos1_s2,1.2,1.0,2,0.8288,0.8507,0.8794,0.5772,0.7151,0.8253,0.7924,0.4956
cls1.2_mos0_s1,1.2,0.0,1,0.6612,0.7711,0.699,0.396,0.649,0.7442,0.6388,0.3274
cls1.2_mos0_s2,1.2,0.0,2,0.8747,0.6611,0.6398,0.3811,0.8087,0.5863,0.5604,0.3178
