image,class,gt_class,box,conf,iou,error_type
IMG_0691_JPG.rf.242ddf7007b1f61a3471e85554a55e26.jpg,0,1,"[286.3, 309.4, 342.2, 377.1]",0.3383,0.9101,class_confusion
IMG_0691_JPG.rf.242ddf7007b1f61a3471e85554a55e26.jpg,1,-1,"[288.0, 307.8, 342.2, 376.7]",0.4904,0.9075,false_positive
IMG_0704_JPG.rf.0a46d8931c90c98c3bd8e4799be04195.jpg,1,-1,"[263.9, 183.3, 334.9, 313.0]",0.7318,0.16,false_positive
IMG_0704_JPG.rf.0a46d8931c90c98c3bd8e4799be04195.jpg,1,-1,"[203.8, 231.0, 244.0, 284.3]",0.391,0.0,false_positive
IMG_0704_JPG.rf.0a46d8931c90c98c3bd8e4799be04195.jpg,1,1,"[326.0, 177.5, 399.0, 327.5]",0.0,0.0605,false_negative
IMG_0704_JPG.rf.0a46d8931c90c98c3bd8e4799be04195.jpg,1,1,"[351.0, 238.5, 389.0, 284.5]",0.0,0.0,false_negative
IMG_0705_JPG.rf.685ef14ba544f7f83eb0a2389f2fbb63.jpg,1,-1,"[131.6, 283.5, 174.8, 340.7]",0.4859,0.0,false_positive
IMG_0748_JPG.rf.06f43009dd2d18d1393112b33eb97b5c.jpg,1,-1,"[263.4, 193.3, 336.5, 340.5]",0.4671,0.0,false_positive
IMG_0748_JPG.rf.06f43009dd2d18d1393112b33eb97b5c.jpg,1,-1,"[281.5, 244.4, 323.0, 301.9]",0.4638,0.0,false_positive
IMG_0750_JPG.rf.2cf68f987c8b9d29cbce411b3510e869.jpg,1,-1,"[268.6, 292.2, 345.4, 442.7]",0.3835,0.0,false_positive
IMG_0750_JPG.rf.2cf68f987c8b9d29cbce411b3510e869.jpg,1,-1,"[284.1, 346.6, 328.2, 404.9]",0.3387,0.0,false_positive
IMG_0763_JPG.rf.09e9f11bc488a2df3b7159136b45a566.jpg,0,-1,"[254.4, 193.5, 333.0, 327.4]",0.5331,0.0,false_positive
IMG_0767_JPG.rf.00e746a30e4fbbf2a3e1008e78e252b1.jpg,0,-1,"[247.6, 197.2, 319.7, 324.9]",0.5194,0.0,false_positive
IMG_0768_JPG.rf.20c29421de51eb0d64967b128515ad49.jpg,0,-1,"[248.5, 176.4, 323.4, 311.4]",0.4963,0.0,false_positive
IMG_0770_JPG.rf.379d74143ef3bef456396534bdd42131.jpg,1,1,"[265.0, 177.0, 315.0, 252.0]",0.0,0.3317,false_negative
IMG_0776_JPG.rf.14ddb3d916c00a230f6b11554087a14d.jpg,1,-1,"[189.1, 207.5, 237.6, 278.8]",0.5767,0.0,false_positive
IMG_0784_JPG.rf.16decc0d979ab5702f440c05d7af73a1.jpg,0,0,"[352.0, 102.0, 402.0, 167.0]",0.0,0.0102,false_negative
IMG_0794_JPG.rf.1f85d2de117b83d0b4ba1d10a1a70ad6.jpg,0,-1,"[253.8, 98.8, 333.5, 237.1]",0.2708,0.0,false_positive
IMG_0814_JPG.rf.52df23f1de951dbffca1c72e6618157b.jpg,1,0,"[176.6, 89.4, 220.7, 157.1]",0.3946,0.9012,class_confusion
IMG_0814_JPG.rf.52df23f1de951dbffca1c72e6618157b.jpg,1,0,"[234.9, 96.8, 280.6, 160.9]",0.3507,0.843,class_confusion
IMG_0814_JPG.rf.52df23f1de951dbffca1c72e6618157b.jpg,0,-1,"[175.9, 88.9, 221.1, 158.1]",0.3336,0.8704,false_positive
IMG_0824_JPG.rf.4ca3bcdfaf0fd542c101266a6c9f5a01.jpg,0,0,"[369.0, 84.5, 408.0, 136.5]",0.0,0.0,false_negative
IMG_0824_JPG.rf.4ca3bcdfaf0fd542c101266a6c9f5a01.jpg,1,1,"[351.5, 49.0, 413.5, 183.0]",0.0,0.0245,false_negative
IMG_0825_JPG.rf.0b74a04d28109d26041490fddd9b65ec.jpg,1,1,"[353.0, 89.5, 412.0, 225.5]",0.0,0.021,false_negative
