epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7612,1.54604,4.47445,1.42409,0.49105,0.26937,0.44782,0.24819,1.4866,5.81375,1.43536,0.000330275,0.000330275,0.0673028
2,121.326,1.43947,3.1591,1.3433,0.54854,0.75987,0.65166,0.34972,1.48341,3.45799,1.41279,0.000647184,0.000647184,0.0342863
3,175.716,1.40926,2.91513,1.32417,0.8634,0.78506,0.88785,0.48965,1.41744,2.70132,1.37206,0.000947593,0.000947593,0.0012534
4,230.047,1.39282,2.69524,1.31244,0.83355,0.79067,0.88325,0.56691,1.24068,2.59486,1.26318,0.00092575,0.00092575,0.00092575
5,283.557,1.37984,2.55147,1.29511,0.77893,0.79958,0.84487,0.51889,1.28229,2.40173,1.27996,0.000901,0.000901,0.000901
6,337.524,1.37031,2.45611,1.29097,0.88486,0.81204,0.9109,0.57337,1.26451,2.10303,1.26992,0.00087625,0.00087625,0.00087625
7,392.539,1.35407,2.36781,1.27674,0.83116,0.82884,0.90932,0.59154,1.19282,2.19373,1.23717,0.0008515,0.0008515,0.0008515
8,447.943,1.34508,2.32225,1.27151,0.88617,0.85293,0.92746,0.57564,1.31505,1.9639,1.29147,0.00082675,0.00082675,0.00082675
9,502.165,1.31653,2.22393,1.25792,0.89866,0.80484,0.90154,0.58002,1.26705,2.02474,1.28138,0.000802,0.000802,0.000802
10,558.348,1.33336,2.2228,1.25971,0.86604,0.85738,0.92942,0.57936,1.25696,1.92749,1.25976,0.00077725,0.00077725,0.00077725
11,614.863,1.29638,2.09427,1.24533,0.89756,0.87523,0.94107,0.59624,1.22499,1.80455,1.24447,0.0007525,0.0007525,0.0007525
12,671.072,1.29903,2.03444,1.24275,0.87191,0.88822,0.94158,0.6126,1.21255,1.75999,1.23609,0.00072775,0.00072775,0.00072775
13,727.087,1.30044,1.99127,1.25128,0.893,0.85948,0.94129,0.59986,1.25101,1.81128,1.25457,0.000703,0.000703,0.000703
14,783.336,1.28036,1.95477,1.2354,0.86452,0.88423,0.94289,0.63488,1.15895,1.6974,1.2212,0.00067825,0.00067825,0.00067825
15,839.215,1.28914,1.93277,1.24605,0.87948,0.85866,0.93592,0.62595,1.16765,1.73562,1.23352,0.0006535,0.0006535,0.0006535
16,895.372,1.27614,1.93201,1.23091,0.90832,0.83277,0.93406,0.61082,1.19854,1.77798,1.23542,0.00062875,0.00062875,0.00062875
17,952.181,1.23899,1.81653,1.21767,0.85691,0.89101,0.93475,0.61499,1.19467,1.70427,1.2348,0.000604,0.000604,0.000604
18,1008.02,1.24805,1.86456,1.21923,0.91395,0.87532,0.94817,0.61562,1.22131,1.61245,1.24213,0.00057925,0.00057925,0.00057925
19,1064.68,1.24473,1.76531,1.21853,0.86972,0.89721,0.94098,0.63052,1.16861,1.65449,1.22072,0.0005545,0.0005545,0.0005545
20,1121.31,1.24463,1.78457,1.21666,0.89874,0.89587,0.9442,0.62563,1.20633,1.63369,1.24418,0.00052975,0.00052975,0.00052975
21,1178.17,1.24454,1.74705,1.21064,0.90729,0.84107,0.92221,0.5957,1.26398,1.78221,1.26837,0.000505,0.000505,0.000505
22,1235.07,1.2345,1.71046,1.20962,0.91199,0.86273,0.93731,0.63107,1.15649,1.66211,1.22073,0.00048025,0.00048025,0.00048025
23,1291.99,1.21509,1.67391,1.19998,0.8983,0.88499,0.9309,0.63031,1.13462,1.58766,1.20965,0.0004555,0.0004555,0.0004555
24,1349.2,1.22415,1.67124,1.20673,0.92008,0.86744,0.93594,0.62266,1.20595,1.5694,1.26139,0.00043075,0.00043075,0.00043075
